,Age,Gender,Class,Joined,Married,Fare,Survived
384,11.0,Male,C3,Cherbourg,0.0,18.0,0
385,33.0,Male,C3,Cherbourg,0.0,14.0,0
386,32.0,Male,C3,Southampton,0.0,7.0,0
387,17.0,Female,C3,Southampton,0.0,7.0,0
388,25.0,Female,C3,Southampton,0.0,7.0,0
389,50.0,Female,C1,Cherbourg,0.0,28.0,0
390,16.0,Female,C3,Cherbourg,0.0,14.0,0
391,19.0,Female,C3,Cherbourg,0.0,14.0,0
392,63.0,Female,C3,Southampton,0.0,8.0,0
393,42.0,Male,C2,Southampton,1.0,27.0,0
394,21.0,Male,C3,Southampton,1.0,7.0,0
395,46.0,Male,C2,Southampton,1.0,15.0,0
396,24.0,Male,C2,Southampton,0.0,31.0,0
397,21.0,Male,C2,Southampton,0.0,31.0,0
398,32.0,Male,C2,Southampton,0.0,10.0,0
399,55.0,Male,Crew,Belfast,1.0,0.0,0
400,48.0,Male,C3,Southampton,0.0,7.0,0
401,34.0,Male,C3,Southampton,0.0,6.0,0
402,33.0,Male,C3,Southampton,0.0,8.0,0
403,31.0,Male,C3,Southampton,0.0,7.0,0
404,49.0,Male,C3,Southampton,0.0,19.54,0
405,33.0,Male,C3,Southampton,0.0,7.0,0
406,19.0,Male,C3,Southampton,0.0,19.54,0
407,8.0,Male,C3,Southampton,0.0,23.0,0
408,7.0,Female,C3,Southampton,0.0,23.0,0
409,35.0,Male,C3,Southampton,1.0,23.0,0
410,36.0,Female,C3,Southampton,1.0,23.0,0
411,37.0,Male,Crew,Southampton,0.0,0.0,0
412,46.0,Male,C1,Southampton,1.0,26.0,0
413,38.0,Male,Crew,Southampton,0.0,0.0,0
414,50.0,Male,C1,Southampton,0.0,26.0,0
415,20.0,Female,C3,Southampton,0.0,9.0,0
416,21.0,Female,C3,Southampton,0.0,9.0,0
417,21.0,Male,C3,Southampton,0.0,8.0,0
418,34.0,Male,C2,Southampton,0.0,26.0,0
419,33.0,Male,C3,Southampton,1.0,7.0,0
420,22.0,Female,C2,Southampton,0.0,21.0,0
421,23.0,Male,C3,Queenstown,0.0,7.0,0
422,35.0,Male,C2,Queenstown,0.0,12.0,0
423,33.0,Male,Crew,Southampton,1.0,211.0,0
424,19.0,Male,C3,Southampton,0.0,8.0,0
425,44.0,Male,C3,Queenstown,0.0,7.0,0
426,23.0,Male,Crew,Belfast,0.0,0.0,0
427,58.0,Male,C1,Cherbourg,0.0,29.0,0
428,41.0,Male,C1,Southampton,1.0,51.0,0
429,25.0,Male,C3,Cherbourg,1.0,14.0,0
430,20.0,Female,C3,Cherbourg,1.0,14.0,0
431,42.0,Male,Crew,Southampton,0.0,0.0,0
432,23.0,Female,C3,Southampton,0.0,8.0,0
433,71.0,Male,C2,Queenstown,1.0,12.0,0
434,1.0,Female,C3,Southampton,0.0,12.0,0
435,36.0,Female,C3,Southampton,1.0,12.0,0
436,36.0,Male,C3,Southampton,0.0,7.0,0
437,27.0,Male,C3,Southampton,1.0,7.0,0
438,31.0,Male,C2,Southampton,0.0,10.0,0
439,35.0,Male,C3,Cherbourg,1.0,7.0,0
440,34.0,Female,C2,Southampton,1.0,26.0,0
441,35.0,Male,C2,Southampton,0.0,26.0,0
442,38.0,Female,C3,Southampton,0.0,9.0,0
443,46.0,Male,Crew,Belfast,0.0,0.0,0
444,23.0,Male,C3,Southampton,0.0,56.0,0
445,31.0,Male,C2,Queenstown,0.0,10.0,0
446,16.0,Male,C3,Queenstown,0.0,7.0,0
447,25.0,Male,C2,Cherbourg,0.0,41.0,0
448,29.0,Male,C3,Southampton,1.0,9.0,0
449,5.0,Male,C3,Southampton,0.0,25.0,0
450,3.0,Female,C3,Southampton,0.0,25.0,0
451,8.0,Female,C3,Southampton,0.0,25.0,0
452,12.0,Female,C3,Southampton,0.0,25.0,0
453,40.0,Female,C3,Southampton,1.0,25.0,0
454,20.0,Male,C3,Queenstown,0.0,15.0,0
455,41.0,Male,C3,Southampton,0.0,24.0,0
456,30.0,Male,C1,Cherbourg,0.0,27.0,0
457,25.0,Male,C2,Southampton,0.0,10.0,0
458,24.0,Male,C3,Southampton,0.0,9.0,0
459,42.0,Male,C1,Southampton,1.0,26.0,0
460,45.0,Female,C3,Southampton,0.0,7.0,0
461,36.0,Male,C3,Southampton,1.0,15.0,0
462,30.0,Female,C3,Southampton,1.0,15.0,0
463,28.0,Male,C3,Southampton,0.0,56.0,0
464,61.0,Male,C2,Queenstown,0.0,12.0,0
465,28.0,Male,C3,Southampton,0.0,9.0,0
466,25.0,Male,C3,Southampton,1.0,7.0,0
467,31.0,Male,C3,Southampton,1.0,16.0,0
468,34.0,Female,C3,Southampton,1.0,16.0,0
469,29.0,Male,C1,Southampton,0.0,30.0,0
470,30.0,Male,C1,Southampton,1.0,45.0,0
471,50.0,Male,C2,Southampton,1.0,26.0,0
472,50.0,Male,C3,Southampton,1.0,7.0,0
473,30.0,Male,C3,Cherbourg,1.0,6.0,0
474,44.0,Male,C3,Southampton,0.0,7.0,0
475,36.0,Male,C2,Southampton,1.0,12.0,0
476,57.0,Female,C2,Southampton,0.0,10.0,0
477,32.0,Male,Crew,Belfast,0.0,0.0,0
478,30.0,Male,C1,Southampton,0.0,26.0,0
479,20.0,Female,C3,Queenstown,0.0,7.0,0
480,25.0,Male,C2,Cherbourg,0.0,15.0,0
481,45.0,Male,C2,Cherbourg,1.0,37.0,0
482,32.0,Female,C3,Queenstown,0.0,7.0,0
483,47.0,Male,C2,Cherbourg,0.0,15.0,0
484,25.0,Male,C3,Cherbourg,0.0,7.0,0
485,18.0,Male,C1,Southampton,1.0,53.0,0
486,25.0,Male,Crew,Southampton,1.0,0.0,0
487,59.0,Male,Crew,Southampton,0.0,0.0,0
488,36.0,Male,C2,Southampton,0.0,16.0,0
489,53.0,Male,Crew,Belfast,1.0,0.0,0
490,46.0,Male,C1,Southampton,0.0,75.0,0
491,54.0,Male,C1,Southampton,1.0,51.0,0
492,36.0,Male,Crew,Belfast,0.0,0.0,0
493,32.0,Male,C2,Southampton,0.0,13.0,0
494,32.0,Male,C2,Southampton,1.0,13.0,0
495,42.0,Female,C3,Queenstown,0.0,7.0,0
496,46.0,Male,C2,Southampton,0.0,26.0,0
497,27.0,Male,C3,Southampton,1.0,16.0,0
498,19.0,Female,C3,Southampton,1.0,16.0,0
499,26.0,Male,Crew,Belfast,1.0,0.0,0
500,62.0,Female,C3,Southampton,1.0,8.0,0
501,32.0,Female,C3,Southampton,1.0,8.0,0
502,34.0,Male,C3,Southampton,1.0,8.0,0
503,48.0,Male,C3,Southampton,1.0,8.0,0
504,28.0,Male,C1,Cherbourg,1.0,82.0,0
505,65.0,Male,C1,Cherbourg,0.0,26.0,0
506,48.0,Male,C2,Southampton,1.0,13.0,0
